"","X","system","Cause","Effect","rho_Lmax","p_Z","Kendall_tau","Kendall_p","Convergence","Standardized_linkage_strength","direction","trait.effect.abundance.phyto","abundance.effect.trait.phyto","trait.effect.abundance.zoo","abundance.effect.trait.zoo","trait.effect.abundance.total","abundance.effect.trait.total","Warming_rate","temp_mean","Oxgen_rate","Oxgen_mean","pH_rate.t","pH_mean","PO4.3_rate.t","PO4.3_mean","NO3_mean","Chlorophyll.a","trait.effect.abundance","abundance.effect.trait","length_time"
"1",1,"WS","A..glacialis.1","A..glacialis",0.913678173409272,0.0529150246004061,0.904761910438538,0.00686383247375488,FALSE,0.932882737162788,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"2",2,"WS","A..karianus.1","A..karianus",0.945109703907443,0.0170301803010167,1,0.00266671180725098,TRUE,0.964974925701055,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"3",3,"WS","A..senarius.1","A..senarius",0.795193847626833,0.195324403574379,1,0.00266671180725098,FALSE,0.811907994235119,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"4",4,"WS","Amoeba.indet.1","Amoeba.indet",0.666762187775425,0.131158975602599,0.999999940395355,0.00853490829467773,FALSE,0.680776834634928,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"5",5,"WS","B..alternans.1","B..alternans",0.9455722830007,0.000785800290945327,1,0.00266671180725098,TRUE,0.965447227725149,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"6",6,"WS","B..brockmannii.1","B..brockmannii",0.806530710631004,0.197498045301289,1,0.00266671180725098,FALSE,0.823483146294084,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"7",7,"WS","Bacillariophyceae.indet.1","Bacillariophyceae.indet",0.497746210525955,0.310431398544855,1,0.00266671180725098,FALSE,0.508208317547127,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"8",8,"WS","C..closterium.1","C..closterium",0.875490542132881,0.15253569265134,0.714285731315613,0.0354981422424316,FALSE,0.893892441643355,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"9",9,"WS","C..danicus.1","C..danicus",0.802311176248825,0.158569188048961,0.904761910438538,0.00686383247375488,FALSE,0.819174921693171,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"10",10,"WS","C..debilis.1","C..debilis",0.94654620925972,0.0591590643009045,1,0.00266671180725098,FALSE,0.966441624899943,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"11",11,"WS","C..densus.1","C..densus",0.647035891907841,0.0297835037789367,0.999999940395355,0.00853490829467773,TRUE,0.66063591257003,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"12",12,"WS","C..pelagica.1","C..pelagica",0.945222400361193,0.00582382042176643,1,0.00266671180725098,TRUE,0.965089990916906,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"13",13,"WS","C..socialis.1","C..socialis",0.953793623965158,2.96931310695969e-05,0.904761910438538,0.00686383247375488,TRUE,0.973841372715451,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"14",14,"WS","Chaetoceros.sp..1","Chaetoceros.sp.",0.627003075680153,0.239428172119659,0.999999940395355,0.00853490829467773,FALSE,0.640182027406251,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"15",15,"WS","Ciliates.indet.1","Ciliates.indet",0.828617634679238,0.0422761456788818,0.904761910438538,0.00686383247375488,TRUE,0.846034314485769,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"16",16,"WS","D..brightwellii.1","D..brightwellii",0.817734301547765,0.147305978938734,0.428571432828903,0.229556202888489,FALSE,0.834922225025145,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"17",17,"WS","D..speculum.1","D..speculum",0.942247163742544,0.0436830529423281,0.904761910438538,0.00686383247375488,TRUE,0.962052217922773,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"18",18,"WS","D..surirella.1","D..surirella",0.871312775579179,0.0619838029802359,1,0.00266671180725098,FALSE,0.889626862787179,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"19",19,"WS","Dinophy.indet.1","Dinophy.indet",0.784829562777066,0.302221563669015,0.999999940395355,0.00853490829467773,FALSE,0.801325862910576,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"20",20,"WS","Diplopsalis.gr.1","Diplopsalis.gr",0.868732294217709,0.0263358638659645,1,0.00266671180725098,TRUE,0.886992142394655,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
"21",21,"WS","E..dubium.1","E..dubium",0.750153867301397,0.13354446898014,1,0.00266671180725098,FALSE,0.76592132042527,"trait affects abundance",0.555555555555556,0.507936507936508,NA,NA,0.555555555555556,0.507936507936508,0.03371825415,10.1001530919333,0.0552444443333298,2.17981254574359,0.00672818929629714,8.14238075399167,-0.029476080236111,0.517301587291667,17.4164135582833,6.717563690525,0.555555555555556,0.507936507936508,40
